"",".metric",".estimator",".estimate","model","dataset","value_round"
"159","mpe","standard",38.2557488506966,"ARIMA","Q17032",38.256
"160","rmse","standard",9429.2248941222,"ARIMA","Q17032",9429.225
"161","mape","standard",30.4186447407352,"prophet","Q17032",30.419
"162","smape","standard",39.8793192655297,"prophet","Q17032",39.879
"163","mase","standard",0.842302603729247,"prophet","Q17032",0.842
"164","mpe","standard",28.0892808838688,"prophet","Q17032",28.089
"165","rmse","standard",7708.72106165851,"prophet","Q17032",7708.721
"166","mape","standard",7.97226486210893,"ets_xls","Q16278",7.972
"167","smape","standard",8.32123053630746,"ets_xls","Q16278",8.321
"168","mase","standard",2.8910029428353,"ets_xls","Q16278",2.891
"169","mpe","standard",6.27956724863975,"ets_xls","Q16278",6.28
"170","rmse","standard",95.1425618641331,"ets_xls","Q16278",95.143
"171","mape","standard",8.51915584925446,"ARIMA","Q16278",8.519
"172","smape","standard",8.9365602347898,"ARIMA","Q16278",8.937
"173","mase","standard",3.09521028037383,"ARIMA","Q16278",3.095
"174","mpe","standard",6.95421580280491,"ARIMA","Q16278",6.954
"175","rmse","standard",102.832995677458,"ARIMA","Q16278",102.833
"176","mape","standard",13.3721333262506,"prophet","Q16278",13.372
"177","smape","standard",14.6261193788345,"prophet","Q16278",14.626
"178","mase","standard",4.89493784707872,"prophet","Q16278",4.895
"179","mpe","standard",12.341855028995,"prophet","Q16278",12.342
"180","rmse","standard",170.839496396064,"prophet","Q16278",170.839
"181","mape","standard",1.77326458421741,"ets_xls","Q16032",1.773
"182","smape","standard",1.77029997631943,"ets_xls","Q16032",1.77
"183","mase","standard",1.95776877495099,"ets_xls","Q16032",1.958
"184","mpe","standard",-0.647815191891558,"ets_xls","Q16032",-0.648
"185","rmse","standard",18.4752127249642,"ets_xls","Q16032",18.475
"186","mape","standard",2.63128566740716,"ARIMA","Q16032",2.631
"187","smape","standard",2.59042058608041,"ARIMA","Q16032",2.59
"188","mase","standard",2.88289387469445,"ARIMA","Q16032",2.883
"189","mpe","standard",-2.63128566740716,"ARIMA","Q16032",-2.631
"190","rmse","standard",28.3599823087131,"ARIMA","Q16032",28.36
"191","mape","standard",6.55397610405402,"prophet","Q16032",6.554
"192","smape","standard",6.31804141475511,"prophet","Q16032",6.318
"193","mase","standard",7.20434421446809,"prophet","Q16032",7.204
"194","mpe","standard",-6.55397610405402,"prophet","Q16032",-6.554
"195","rmse","standard",69.1666635422905,"prophet","Q16032",69.167
"196","mape","standard",12.1138633144058,"ets_xls","Y13690",12.114
"197","smape","standard",11.3778578279797,"ets_xls","Y13690",11.378
"198","mase","standard",1.33452202340466,"ets_xls","Y13690",1.335
"199","mpe","standard",-9.71641018262921,"ets_xls","Y13690",-9.716
"200","rmse","standard",143.075589805973,"ets_xls","Y13690",143.076
"201","mape","standard",8.0493588245307,"ARIMA","Y13690",8.049
"202","smape","standard",8.53666347015592,"ARIMA","Y13690",8.537
"203","mase","standard",0.928796228401101,"ARIMA","Y13690",0.929
"204","mpe","standard",7.97900062906358,"ARIMA","Y13690",7.979
"205","rmse","standard",109.426627766714,"ARIMA","Y13690",109.427
"206","mape","standard",45.2874197532161,"prophet","Y13690",45.287
"207","smape","standard",36.6030620836327,"prophet","Y13690",36.603
"208","mase","standard",4.98172572020593,"prophet","Y13690",4.982
"209","mpe","standard",-45.2874197532161,"prophet","Y13690",-45.287
"210","rmse","standard",496.99255909185,"prophet","Y13690",496.993
"211","mape","standard",23.2070305863938,"ets_xls","Y14318",23.207
"212","smape","standard",28.5986880664891,"ets_xls","Y14318",28.599
"213","mase","standard",2.39931493721974,"ets_xls","Y14318",2.399
"214","mpe","standard",23.2070305863938,"ets_xls","Y14318",23.207
"215","rmse","standard",782.982190597251,"ets_xls","Y14318",782.982
"216","mape","standard",20.5863501256319,"ARIMA","Y14318",20.586
"217","smape","standard",25.3373855524591,"ARIMA","Y14318",25.337
"218","mase","standard",2.18240082512946,"ARIMA","Y14318",2.182
"219","mpe","standard",20.5863501256319,"ARIMA","Y14318",20.586
"220","rmse","standard",742.378123908578,"ARIMA","Y14318",742.378
"221","mape","standard",20.3628876109902,"prophet","Y14318",20.363
"222","smape","standard",20.317386602916,"prophet","Y14318",20.317
"223","mase","standard",1.76515972307171,"prophet","Y14318",1.765
"224","mpe","standard",-1.47082467766941,"prophet","Y14318",-1.471
"225","rmse","standard",504.09400559497,"prophet","Y14318",504.094
"226","mape","standard",5.73402463567554,"ets_xls","M35706",5.734
"227","smape","standard",5.74540553388588,"ets_xls","M35706",5.745
"228","mase","standard",0.804271403494244,"ets_xls","M35706",0.804
"229","mpe","standard",-1.84521366570541,"ets_xls","M35706",-1.845
"230","rmse","standard",757.825190014561,"ets_xls","M35706",757.825
"231","mape","standard",6.34269815430023,"ARIMA","M35706",6.343
"232","smape","standard",6.28420825654406,"ARIMA","M35706",6.284
"233","mase","standard",0.880076016233388,"ARIMA","M35706",0.88
"234","mpe","standard",-3.01024905882552,"ARIMA","M35706",-3.01
"235","rmse","standard",780.666946043965,"ARIMA","M35706",780.667
"236","mape","standard",19.2048266637748,"prophet","M35706",19.205
"237","smape","standard",17.301706518378,"prophet","M35706",17.302
"238","mase","standard",2.56986328537181,"prophet","M35706",2.57
"239","mpe","standard",-18.4327360280682,"prophet","M35706",-18.433
"240","rmse","standard",1924.89370277715,"prophet","M35706",1924.894
"241","mape","standard",5.69961983101624,"ets_xls","M29481",5.7
"242","smape","standard",5.89181845875849,"ets_xls","M29481",5.892
"243","mase","standard",3.1710347055103,"ets_xls","M29481",3.171
"244","mpe","standard",5.69961983101624,"ets_xls","M29481",5.7
"245","rmse","standard",332.461455400766,"ets_xls","M29481",332.461
"246","mape","standard",4.79931890891732,"ARIMA","M29481",4.799
"247","smape","standard",4.95403734013814,"ARIMA","M29481",4.954
"248","mase","standard",2.67883663680038,"ARIMA","M29481",2.679
"249","mpe","standard",4.6461165654253,"ARIMA","M29481",4.646
"250","rmse","standard",298.900273229614,"ARIMA","M29481",298.9
"251","mape","standard",1.88787743264949,"prophet","M29481",1.888
"252","smape","standard",1.88126943166371,"prophet","M29481",1.881
"253","mase","standard",1.04742605683737,"prophet","M29481",1.047
"254","mpe","standard",-0.619053238851962,"prophet","M29481",-0.619
"255","rmse","standard",119.68785066535,"prophet","M29481",119.688
"256","mape","standard",6.24330258399428,"ets_xls","Q13985",6.243
"257","smape","standard",6.53396310231889,"ets_xls","Q13985",6.534
"258","mase","standard",2.84832434796491,"ets_xls","Q13985",2.848
"259","mpe","standard",6.22934051516088,"ets_xls","Q13985",6.229
"260","rmse","standard",115.590075718861,"ets_xls","Q13985",115.59
"261","mape","standard",5.74048861427613,"ARIMA","Q13985",5.74
"262","smape","standard",5.98930638511443,"ARIMA","Q13985",5.989
"263","mase","standard",2.62125643013219,"ARIMA","Q13985",2.621
"264","mpe","standard",5.62764993798606,"ARIMA","Q13985",5.628
"265","rmse","standard",107.338529355968,"ARIMA","Q13985",107.339
"266","mape","standard",10.4364634062138,"prophet","Q13985",10.436
"267","smape","standard",11.1256351710747,"prophet","Q13985",11.126
"268","mase","standard",4.70444229768615,"prophet","Q13985",4.704
"269","mpe","standard",10.4364634062138,"prophet","Q13985",10.436
"270","rmse","standard",174.291287418885,"prophet","Q13985",174.291
"271","mape","standard",2.98815416786778,"ets_xls","Q13980",2.988
"272","smape","standard",2.93403168520418,"ets_xls","Q13980",2.934
"273","mase","standard",4.36581951588446,"ets_xls","Q13980",4.366
"274","mpe","standard",-2.98815416786778,"ets_xls","Q13980",-2.988
"275","rmse","standard",415.297389736096,"ets_xls","Q13980",415.297
"276","mape","standard",1.01297173795827,"ARIMA","Q13980",1.013
"277","smape","standard",1.00465970259626,"ARIMA","Q13980",1.005
"278","mase","standard",1.4760677536228,"ARIMA","Q13980",1.476
"279","mpe","standard",-0.950946471040183,"ARIMA","Q13980",-0.951
"280","rmse","standard",161.948750173346,"ARIMA","Q13980",161.949
"281","mape","standard",3.11201372803849,"prophet","Q13980",3.112
"282","smape","standard",3.05237474500761,"prophet","Q13980",3.052
"283","mase","standard",4.54637672816492,"prophet","Q13980",4.546
"284","mpe","standard",-3.11201372803849,"prophet","Q13980",-3.112
"285","rmse","standard",436.144136647421,"prophet","Q13980",436.144
"286","mape","standard",11.3572976744898,"ets_xls","M33254",11.357
"287","smape","standard",10.2098540873396,"ets_xls","M33254",10.21
