"",".metric",".estimator",".estimate","model","dataset","description","value_round"
"67","msd","standard",-50.7349232589427,"ets_xls","M211","OTHER PRIVATE UK INDUSTRY",-50.735
"68","mae","standard",50.7349232589427,"ets_xls","M211","OTHER PRIVATE UK INDUSTRY",50.735
"69","mpe","standard",-22.3440336024182,"ets_xls","M211","OTHER PRIVATE UK INDUSTRY",-22.344
"70","mape","standard",22.3440336024182,"ets_xls","M211","OTHER PRIVATE UK INDUSTRY",22.344
"71","smape","standard",19.4306331386407,"ets_xls","M211","OTHER PRIVATE UK INDUSTRY",19.431
"72","mase","standard",1.53441326347986,"ets_xls","M211","OTHER PRIVATE UK INDUSTRY",1.534
"73","rmse","standard",45.180554236015,"prophet","M211","OTHER PRIVATE UK INDUSTRY",45.181
"74","rsq","standard",0.46355060024959,"prophet","M211","OTHER PRIVATE UK INDUSTRY",0.464
"75","msd","standard",-35.1010019826546,"prophet","M211","OTHER PRIVATE UK INDUSTRY",-35.101
"76","mae","standard",38.7322373112453,"prophet","M211","OTHER PRIVATE UK INDUSTRY",38.732
"77","mpe","standard",-15.55883590231,"prophet","M211","OTHER PRIVATE UK INDUSTRY",-15.559
"78","mape","standard",17.0541173200188,"prophet","M211","OTHER PRIVATE UK INDUSTRY",17.054
"79","smape","standard",15.3328483657964,"prophet","M211","OTHER PRIVATE UK INDUSTRY",15.333
"80","mase","standard",1.17140728391953,"prophet","M211","OTHER PRIVATE UK INDUSTRY",1.171
"81","rmse","standard",26.9611384422996,"ets_xls","M212","OTHER PRIVATE EXPORT GERMANY",26.961
"82","rsq","standard",0.144422177044556,"ets_xls","M212","OTHER PRIVATE EXPORT GERMANY",0.144
"83","msd","standard",-22.8103377577803,"ets_xls","M212","OTHER PRIVATE EXPORT GERMANY",-22.81
"84","mae","standard",23.5018619172604,"ets_xls","M212","OTHER PRIVATE EXPORT GERMANY",23.502
"85","mpe","standard",-19.2310932941628,"ets_xls","M212","OTHER PRIVATE EXPORT GERMANY",-19.231
"86","mape","standard",19.6851472399803,"ets_xls","M212","OTHER PRIVATE EXPORT GERMANY",19.685
"87","smape","standard",17.3456608779349,"ets_xls","M212","OTHER PRIVATE EXPORT GERMANY",17.346
"88","mase","standard",2.35018619172604,"ets_xls","M212","OTHER PRIVATE EXPORT GERMANY",2.35
"89","rmse","standard",43.9045524141383,"prophet","M212","OTHER PRIVATE EXPORT GERMANY",43.905
"90","rsq","standard",0.100698523247439,"prophet","M212","OTHER PRIVATE EXPORT GERMANY",0.101
"91","msd","standard",-39.7822848231724,"prophet","M212","OTHER PRIVATE EXPORT GERMANY",-39.782
"92","mae","standard",39.7822848231724,"prophet","M212","OTHER PRIVATE EXPORT GERMANY",39.782
"93","mpe","standard",-32.8370540239694,"prophet","M212","OTHER PRIVATE EXPORT GERMANY",-32.837
"94","mape","standard",32.8370540239694,"prophet","M212","OTHER PRIVATE EXPORT GERMANY",32.837
"95","smape","standard",27.2590548781021,"prophet","M212","OTHER PRIVATE EXPORT GERMANY",27.259
"96","mase","standard",3.97822848231724,"prophet","M212","OTHER PRIVATE EXPORT GERMANY",3.978
"97","rmse","standard",13.1159677385055,"ets_xls","M213","OTHER PRIVATE INDUSTRY GERMANY",13.116
"98","rsq","standard",0.122978307853016,"ets_xls","M213","OTHER PRIVATE INDUSTRY GERMANY",0.123
"99","msd","standard",-10.0967713848054,"ets_xls","M213","OTHER PRIVATE INDUSTRY GERMANY",-10.097
